Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),16384,16384,16384,2,host,,,,,1.0,0.433763,,,0.6893344444444445,12760.321086444445,3.0,,,,12.461251060980903,"Square
( M = N = K )"
Cosma(Optimal),16384,16384,16384,4,host,,,,,1.0,0.7422786666666666,,,0.4239478148148148,20749.13529033333,3.0,,,,20.262827431966144,"Square
( M = N = K )"
Cosma(Optimal),16384,16384,16384,8,host,,,,,2.0,0.750658,,,0.36111588888888885,24485.325091888888,3.0,,,,23.911450285047742,"Square
( M = N = K )"
Cosma(Optimal),16384,16384,16384,16,host,,,,,4.0,0.753908,,,0.27255466666666667,32428.21829666667,3.0,,,,31.668181930338545,"Square
( M = N = K )"
Cosma(Optimal),20480,20480,20480,2,host,,,,,1.0,0.447971,,,1.2262750000000002,14009.896866888888,3.0,,,,13.68153990907118,"Square
( M = N = K )"
Cosma(Optimal),20480,20480,20480,4,host,,,,,1.0,0.740587,,,0.7936533333333333,21646.93199172222,3.0,,,,21.13958202316623,"Square
( M = N = K )"
Cosma(Optimal),20480,20480,20480,8,host,,,,,2.0,0.753871,,,0.7154564444444445,24038.40261622222,3.0,,,,23.475002554904513,"Square
( M = N = K )"
Cosma(Optimal),20480,20480,20480,16,host,,,,,4.0,0.77627,,,0.5030378888888889,34473.19447,3.0,,,,33.66522897460938,"Square
( M = N = K )"
Cosma(Optimal),24576,24576,24576,2,host,,,,,1.0,0.416621,,,1.9809625555555554,14986.062834666667,3.0,,,,14.634826986979167,"Square
( M = N = K )"
Cosma(Optimal),24576,24576,24576,4,host,,,,,1.0,0.9473155,,,1.1588882222222223,25618.435572277776,3.0,,,,25.018003488552516,"Square
( M = N = K )"
Cosma(Optimal),24576,24576,24576,8,host,,,,,2.0,0.737586,,,0.9703607777777778,30678.437225222224,3.0,,,,29.959411352756078,"Square
( M = N = K )"
Cosma(Optimal),24576,24576,24576,16,host,,,,,4.0,0.759942,,,0.6599826666666666,45294.77698266666,3.0,,,,44.23318064713541,"Square
( M = N = K )"
Cosma(Optimal),28672,28672,28672,2,host,,,,,1.0,0.419585,,,2.978787777777778,15825.775059555554,3.0,,,,15.45485845659722,"Square
( M = N = K )"
Cosma(Optimal),28672,28672,28672,4,host,,,,,1.0,0.7481145,,,1.7248284444444444,27331.31456022222,3.0,,,,26.690736875217013,"Square
( M = N = K )"
Cosma(Optimal),28672,28672,28672,8,host,,,,,2.0,0.740603,,,1.3632018888888888,34605.01446722222,3.0,,,,33.7939594406467,"Square
( M = N = K )"
Cosma(Optimal),28672,28672,28672,16,host,,,,,4.0,0.75337,,,0.9551543333333333,49411.960694444446,3.0,,,,48.253867865668404,"Square
( M = N = K )"
Cosma(Optimal),32768,32768,32768,2,host,,,,,1.0,0.45799899999999993,,,4.397981333333333,16000.238362,3.0,,,,15.625232775390625,"Square
( M = N = K )"
