Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.061395,4372.265380,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.080241,3345.344942,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.107776,2490.687030,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.074769,3590.181903,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.065697,4085.968006,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.081027,3312.918127,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.058732,4570.527624,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.091149,2945.008194,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.102945,10680.603583,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.156054,7045.726556,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.091139,12064.073143,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.093790,11723.141413,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.091777,11980.275932,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.134838,8154.314304,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.108088,10172.351279,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.098468,11166.223807,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.106058,10367.092240,devices
cuBLASMp,8192,8192,8192,2048,2048,4,2,2,8,0.000001,0.026060,0.000000,0.099595,11039.875466,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.106552,61758.665190,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.379423,59117.021096,devices
cuBLASMp,57344,57344,57344,2048,2048,4,4,4,16,0.000001,0.456550,0.000000,6.528401,57767.973772,devices
