Algo,M,N,K,TotalGPUs,ExecutionTime,GFlops,ALoc,BLoc,CLoc
PARALiA,8192,8192,8192,4,0.020455,53752.386717,0,1,2
PARALiA,8192,8192,8192,4,0.020438,53797.534132,0,1,2
PARALiA,8192,8192,8192,4,0.020432,53813.228062,0,1,2
PARALiA,8192,8192,8192,4,0.020438,53797.534132,0,1,2
PARALiA,8192,8192,8192,4,0.020437,53800.044546,0,1,2
PARALiA,8192,8192,8192,4,0.020304,54152.558312,0,1,2
PARALiA,8192,8192,8192,4,0.019475,56457.641869,0,1,2
PARALiA,8192,8192,8192,4,0.019463,56492.221604,0,1,2
PARALiA,8192,8192,8192,4,0.019443,56550.411017,0,1,2
PARALiA,8192,8192,8192,4,0.019474,56461.097937,0,1,2
PARALiA,8192,8192,8192,4,0.019449,56533.080214,0,1,2
PARALiA,8192,8192,8192,4,0.019447,56538.624915,0,1,2
PARALiA,8192,8192,8192,4,0.019457,56509.527361,0,1,2
PARALiA,8192,8192,8192,4,0.019475,56457.641869,0,1,2
PARALiA,8192,8192,8192,4,0.019447,56539.318079,0,1,2
PARALiA,8192,8192,8192,4,0.016494,66661.164459,0,1,2
PARALiA,8192,8192,8192,4,0.016422,66954.412417,0,1,2
PARALiA,8192,8192,8192,4,0.016536,66492.005399,0,1,2
PARALiA,8192,8192,8192,4,0.016508,66605.323855,0,1,2
PARALiA,8192,8192,8192,4,0.016556,66411.572679,0,1,2
PARALiA,8192,8192,8192,4,0.016657,66009.475816,0,1,2
PARALiA,8192,8192,8192,4,0.016694,65862.411003,0,1,2
PARALiA,8192,8192,8192,4,0.016657,66009.475816,0,1,2
PARALiA,8192,8192,8192,4,0.016658,66004.752013,0,1,2
PARALiA,8192,8192,8192,4,0.016626,66131.584117,0,1,2
PARALiA,8192,8192,8192,4,0.016648,66045.398826,0,1,2
PARALiA,8192,8192,8192,4,0.016751,65638.366877,0,1,2
PARALiA,8192,8192,8192,4,0.016682,65910.417734,0,1,2
PARALiA,8192,8192,8192,4,0.016675,65937.746903,0,1,2
