Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.201809,0.110334,3649.913289,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.203590,0.109935,3617.987030,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.199072,0.109777,3700.098362,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.197691,0.109914,3725.945504,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.203894,0.109885,3612.603692,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.456628,0.206453,2407.891646,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.262628,0.147571,4186.572215,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.263868,0.146224,4166.899022,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.251714,0.146488,4368.096813,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.253534,0.146847,4336.749044,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.253449,0.146213,4338.198358,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.253650,0.145992,4334.760448,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.255590,0.146949,4301.855171,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.256969,0.146702,4278.764367,devices
SLATE,8192,8192,8192,1024,1024,2,2,1,4,0.057638,0.256887,0.146184,4280.141188,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.549909,0.256859,2846.864656,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.357243,0.182909,4382.216579,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.355737,0.181698,4400.762966,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.343596,0.181925,4556.268202,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.337506,0.181961,4638.479112,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.335043,0.181606,4672.581195,devices
SLATE,9216,9216,9216,1024,1024,2,2,1,4,0.040535,0.334114,0.182684,4685.576393,devices
