Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),40960,40960,2560,8,host,,,,,2.0,0.769265,,,0.27582355555555554,31172.86826055556,3.0,,,,30.442254160698788,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,2560,16,host,,,,,4.0,0.730255,,,0.22016611111111112,39293.538256555556,3.0,,,,38.372595953667535,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,5120,2,host,,,,,1.0,0.416274,,,1.470134111111111,11685.92217788889,3.0,,,,11.412033376844619,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,5120,4,host,,,,,1.0,0.750303,,,0.6607016666666667,26002.545314888892,3.0,,,,25.393110659071183,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,5120,8,host,,,,,2.0,0.754011,,,0.500971,34415.16500088889,3.0,,,,33.60855957118056,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,5120,16,host,,,,,4.0,0.760103,,,0.41421766666666665,41976.68413444444,3.0,,,,40.9928556000434,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,10240,2,host,,,,,1.0,0.434178,,,2.4143195555555557,14231.650764,3.0,,,,13.89809644921875,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,10240,4,host,,,,,1.0,0.758279,,,1.1928124444444446,28805.80725588889,3.0,,,,28.130671148328993,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,10240,8,host,,,,,2.0,0.737501,,,0.8956354444444445,38469.72625888889,3.0,,,,37.56809204969618,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,10240,16,host,,,,,4.0,0.756169,,,0.8043018888888889,42883.46774655555,3.0,,,,41.878386471245655,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,1024,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.467424,,0.6123447,0.0737159,9924.3664274,2.0,,,,9.691764089257813,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,1024,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.752298,,0.7050256,0.1152206,4874.955367799999,2.0,,,,4.760698601367187,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,1024,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.774262,,0.6565593,0.113198,4897.7480064,2.0,,,,4.7829570375,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,1024,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.778068,,0.582306,0.0837966,6786.2613432,2.0,,,,6.62720834296875,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,2048,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.44058650000000005,,0.6061854,0.1249176,11044.041814749999,2.0,,,,10.785197084716796,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,2048,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.748773,,0.6766455,0.18316539999999998,6083.5495384000005,2.0,,,,5.9409663460937505,"Fat-thin
( M = N >> K )"
SLATE,16384,16384,2048,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.775485,,0.6065734,0.2063679,5331.751101,2.0,,,,5.206788184570312,"Fat-thin
( M = N >> K )"
